SrcTAZ,AccessRate,MedIncSrcTAZ,SumTotPopSrcTAZ,PopDensSrcTAZ,NumDest,JobNum,AvgJobDensAtDests,JobDensRating,SDJobDens,FoodNum,AvgFoodDensAtDest,FoodDensRating,SDFoodDens
72,3,14400,778,639.76,40,40,2132.75,1,3804.64,6,0.24,2,0.66
75,3,28717,5937,5810.32,26,26,1416.79,1,3125.17,6,0.28,2,0.61
77,3,28594,3230,2362.23,25,24,1716.04,1,3170.93,5,0.25,2,0.64
186,2,30268,555,119.19,1,1,1717.11,1,0.00,0,0.00,1,0.00
209,3,23292,8202,3041.87,32,31,11480.59,2,22195.84,1,0.05,1,0.27
215,3,28305,5466,1548.80,7,7,1321.23,1,1168.21,1,0.22,2,0.54
216,2,28305,2,0.42,1,1,600.73,1,0.00,0,0.00,1,0.00
217,2,28794,22,3.95,1,1,906.35,1,0.00,0,0.00,1,0.00
563,3,12383,2260,1493.77,20,20,4554.13,1,7064.56,3,0.22,2,0.60
564,3,12383,2922,4340.64,28,28,3624.55,1,6201.14,3,0.17,2,0.53
696,2,10648,3421,1725.16,7,7,1195.32,1,714.03,1,0.10,1,0.24
